start_time,user_ip,dest_ip,user_port,dest_port,host,start_time_long,day
2017-03-27T12:19:24.000+04:30,100.90.79.19,172.227.146.138,54315,80,en-US.appex-rf.msn.com,1490600964,2017-03-27
2017-03-27T12:19:27.000+04:30,100.113.59.168,2.21.246.40,36499,80,weather.service.msn.com,1490600967,2017-03-27
2017-03-27T12:19:27.000+04:30,100.102.200.18,2.18.213.24,34405,80,weather.service.msn.com,1490600967,2017-03-27
2017-03-27T12:19:28.000+04:30,100.80.175.202,204.79.197.203,49176,80,www.msn.com,1490600968,2017-03-27
2017-03-27T12:19:33.000+04:30,100.80.175.202,207.46.194.10,49195,80,c.msn.com,1490600973,2017-03-27
2017-03-27T12:19:38.000+04:30,100.102.200.18,2.18.213.24,42913,80,weather.service.msn.com,1490600978,2017-03-27
2017-03-27T12:19:44.000+04:30,100.102.200.18,2.18.213.24,42913,80,weather.service.msn.com,1490600984,2017-03-27
2017-03-27T12:19:45.000+04:30,100.89.122.4,204.79.197.203,52055,80,www.msn.com,1490600985,2017-03-27
2017-03-27T12:19:52.000+04:30,100.83.83.142,23.211.101.51,57096,80,cdn.content.prod.cms.msn.com,1490600992,2017-03-27
2017-03-27T12:19:52.000+04:30,100.83.83.142,23.211.101.51,57094,80,cdn.content.prod.cms.msn.com,1490600992,2017-03-27
2017-03-27T12:19:54.000+04:30,100.89.241.167,23.211.101.192,52306,80,en-us.appex-rf.msn.com,1490600994,2017-03-27
2017-03-27T12:19:56.000+04:30,100.89.241.167,23.211.101.192,52311,80,en-us.appex-rf.msn.com,1490600996,2017-03-27
2017-03-27T12:19:56.000+04:30,100.89.226.171,2.18.213.49,60493,80,weather.service.msn.com,1490600996,2017-03-27
2017-03-27T12:19:57.000+04:30,100.89.241.167,23.211.101.192,52313,80,en-us.appex-rf.msn.com,1490600997,2017-03-27
2017-03-27T12:19:57.000+04:30,100.89.241.167,23.211.101.192,52313,80,en-us.appex-rf.msn.com,1490600997,2017-03-27
2017-03-27T12:19:57.000+04:30,100.89.241.167,23.211.101.192,52313,80,en-us.appex-rf.msn.com,1490600997,2017-03-27
2017-03-27T12:19:57.000+04:30,100.88.59.5,104.111.248.195,49481,80,cdn.content.prod.cms.msn.com,1490600997,2017-03-27
2017-03-27T12:19:58.000+04:30,100.89.241.167,23.211.101.192,52313,80,en-us.appex-rf.msn.com,1490600998,2017-03-27
