start_time,user_ip,dest_ip,user_port,dest_port,host
2017-03-27 12:20:00,100.89.241.167,23.211.101.192,52317,80,en-us.appex-rf.msn.com
2017-03-27 12:20:00,100.81.228.97,207.46.194.14,51664,80,bat.r.msn.com
2017-03-27 12:20:02,100.81.135.93,192.168.194.73,49826,8080,weather.service.msn.com
2017-03-27 12:20:03,100.81.135.93,192.168.194.73,46749,8080,weather.service.msn.com
2017-03-27 12:20:04,100.81.135.93,192.168.194.73,53906,8080,weather.service.msn.com
2017-03-27 12:20:04,100.91.78.76,23.211.101.192,50253,80,en-US.appex-rf.msn.com
2017-03-27 12:20:05,100.81.135.93,192.168.194.73,38268,8080,weather.service.msn.com
2017-03-27 12:20:05,100.91.78.76,23.211.101.192,50254,80,en-US.appex-rf.msn.com
2017-03-27 12:20:05,100.91.78.76,23.211.101.192,50252,80,en-US.appex-rf.msn.com
2017-03-27 12:20:06,100.81.135.93,192.168.194.73,42892,8080,weather.service.msn.com
2017-03-27 12:20:06,100.81.135.93,192.168.194.73,49550,8080,weather.service.msn.com
2017-03-27 12:20:07,100.121.248.206,23.211.101.192,59015,80,en-us.appex-rf.msn.com
2017-03-27 12:20:16,100.89.246.176,104.111.218.178,54758,80,en-US.appex-rf.msn.com
2017-03-27 12:20:16,100.89.246.176,104.111.218.178,54757,80,en-US.appex-rf.msn.com
2017-03-27 12:20:16,100.91.112.143,104.75.73.121,49897,80,cdn.content.prod.cms.msn.com
2017-03-27 12:20:18,100.91.54.241,23.211.101.51,49169,80,cdn.content.prod.cms.msn.com
2017-03-27 12:20:27,100.113.59.168,188.43.76.73,34628,80,weather.service.msn.com
2017-03-27 12:20:30,100.80.28.118,23.211.101.51,51742,80,cdn.content.prod.cms.msn.com
2017-03-27 12:20:30,100.80.28.118,23.211.101.51,51741,80,cdn.content.prod.cms.msn.com
2017-03-27 12:20:32,100.102.200.18,2.18.213.24,60656,80,weather.service.msn.com
2017-03-27 12:20:33,100.88.17.41,104.125.66.81,1062,80,en-us.appex-rf.msn.com
